T,M,U,Y1,Y2,Z1,Z2,R1,R2,EOLD1,EOLD2,E1,E2
513.48,1,-0.245910811722081,-0.0892652780956738,-0.0395208667124436,9.15939358298103,0.286915007638958,-3.96344086662446e-05,-0.2,-0.216870667227486,-0.256916151674677,-0.08930491250434,-0.239520866712444
513.49,0,0.120133650259017,-0.0987258716716255,-0.0346379797055008,9.15939358298103,0.286915007638958,-3.93054943072926e-05,-0.2,-0.216870667227486,-0.256916151674677,-0.0987651771659328,-0.234637979705501
513.5,0,-0.161693926938473,-0.199435416189822,-0.0483710994125275,9.15692445355188,0.303638762718081,-3.89793095123523e-05,-0.2,-0.0987651771659328,-0.234637979705501,-0.199474395499334,-0.248371099412527
513.51,0,0.0686467392014938,-0.117647058823529,-0.0413519493400472,9.1519375936644,0.346102558922611,-3.86558316295709e-05,-0.2,-0.199474395499334,-0.248371099412527,-0.117685714655159,-0.241351949340047
513.52,0,-0.178848965427367,-0.209811551079575,-0.0508125429159989,9.14899545079802,0.365897103522453,-3.83350381950765e-05,-0.2,-0.117685714655159,-0.241351949340047,-0.20984988611777,-0.250812542915999
513.53,0,0.158217936064148,-0.0917067215991452,-0.03768978408484,9.14374920364508,0.409106281591823,-3.80169069314184e-05,-0.2,-0.20984988611777,-0.250812542915999,-0.0917447385060766,-0.23768978408484
513.54,1,0.158217936064148,-0.138399328603036,-0.0401312275883114,9.14145558518243,0.420150762360067,-3.77014157460197e-05,-0.2,-0.0917447385060766,-0.23768978408484,-0.138437030018782,-0.240131227588311
513.55,0,0.114507645058263,-0.122835126268406,-0.0279240100709544,9.14145558518243,0.420150762360067,-3.73885427296437e-05,-0.2,-0.0917447385060766,-0.23768978408484,-0.122872514811135,-0.227924010070954
513.56,0,0.224847341569604,-0.0642404821850917,-0.0401312275883114,9.13838377231215,0.438966084335661,-3.70782661548683e-05,-0.2,-0.122872514811135,-0.227924010070954,-0.0642775604512466,-0.240131227588311
513.57,1,0.224847341569604,-0.0556954299229417,-0.0508125429159989,9.13677683330087,0.441906256386358,-3.67705644745915e-05,-0.2,-0.0642775604512466,-0.240131227588311,-0.0557322004874163,-0.250812542915999
513.58,1,0.224847341569604,-0.0694285496299685,-0.0230411230640115,9.13677683330087,0.441906256386358,-3.64654163205138e-05,-0.2,-0.0642775604512466,-0.240131227588311,-0.069465015046289,-0.223041123064012
513.59,0,0.109205739942661,-0.0691233691920345,-0.0749217975127792,9.13677683330087,0.441906256386358,-3.61628005016685e-05,-0.2,-0.0642775604512466,-0.240131227588311,-0.0691595319925362,-0.274921797512779
513.6,0,0.0689226432415182,-0.0804150453955899,-0.0794995040817881,9.13504784500105,0.446027136117168,-3.58626960029468e-05,-0.2,-0.0691595319925362,-0.274921797512779,-0.0804509080915928,-0.279499504081788
513.61,0,0.181964046428819,-0.0703440909437703,-0.050507362478065,9.13303657229876,0.452963224057893,-3.55650819836376e-05,-0.2,-0.0804509080915928,-0.279499504081788,-0.0703796560257539,-0.250507362478065
513.62,0,0.511163984331913,-0.0151064316777294,0.0141908903639276,9.13127708089812,0.457054111818608,-3.52699377759813e-05,-0.2,-0.0703796560257539,-0.250507362478065,-0.0151417016155054,-0.185809109636072
513.63,1,0.511163984331913,-0.0138857099259937,-0.0813305867093916,9.13089853835773,0.446609136841858,-3.49772428837336e-05,-0.2,-0.0151417016155054,-0.185809109636072,-0.0139206871688774,-0.281330586709392
513.64,0,-0.271009190069702,-0.0306706340123597,-0.233005264362554,9.13089853835773,0.446609136841858,-3.46869769807428e-05,-0.2,-0.0151417016155054,-0.185809109636072,-0.0307053209893404,-0.433005264362554
513.65,1,-0.271009190069702,0.0050354772259098,-0.248874647135118,9.130130905333,0.44055237455298,-3.43991199095379e-05,-0.2,-0.0307053209893404,-0.433005264362554,0.00500107810600026,-0.448874647135118
